Unnamed: 0,group,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,average height,average weight,average expectancy
Giant Schnauzer,Working Group,0.8,0.6,1.0,0.8,0.6,64.77,31.751465900000003,13.5
Glen of Imaal Terrier,Terrier Group,0.6,0.4,0.6,0.4,0.6,33.655,16.32932532,12.5
Golden Retriever,Sporting Group,0.4,0.6,1.0,1.0,0.8,57.785,29.48350405,11.0
Gordon Setter,Sporting Group,0.4,0.6,1.0,0.4,0.4,63.5,28.349523124999997,12.5
Grand Basset Griffon Vendéen,Hound Group,0.4,0.6,1.0,0.4,0.8,42.545,19.277675725,14.0
Great Dane,Working Group,0.2,0.6,0.8,0.6,0.6,76.2,64.636912725,8.5
Great Pyrenees,Working Group,0.4,0.6,1.0,0.4,0.4,72.39,41.957294225,11.0
Greater Swiss Mountain Dog,Working Group,0.4,0.6,0.8,0.6,0.6,66.03999999999999,51.02914162500001,9.5
Greyhound,Hound Group,0.2,0.4,0.8,0.4,0.8,72.39,29.48350405,11.5
Hamiltonstovare,Foundation Stock Service,0.2,0.2,0.8,0.6,0.8,54.61,26.081561275,15.5
Hanoverian Scenthound,Foundation Stock Service,0.2,0.2,0.6,0.4,0.4,50.8,40.36972093,12.0
Harrier,Hound Group,0.4,0.4,1.0,0.8,0.8,50.8,23.813599425,13.5
Havanese,Toy Group,0.6,0.4,0.6,0.8,1.0,25.4,4.535923700000001,15.0
Hokkaido,Foundation Stock Service,0.4,0.6,0.8,0.8,0.6,48.26,24.947580350000003,13.5
Hovawart,Foundation Stock Service,0.2,0.6,0.6,0.2,0.4,64.77000000000001,35.153408675,12.0
Ibizan Hound,Hound Group,0.2,0.4,1.0,0.4,0.4,63.5,21.545637575,12.5
Icelandic Sheepdog,Herding Group,0.4,0.6,0.8,1.0,0.8,43.815,12.473790175000001,13.0
Irish Red and White Setter,Sporting Group,0.4,0.4,1.0,0.8,0.8,61.595,21.545637575,13.0
Irish Setter,Sporting Group,0.6,0.6,1.0,0.6,1.0,66.03999999999999,29.48350405,13.5
Irish Terrier,Terrier Group,0.2,0.4,0.6,0.6,0.6,45.72,11.793401620000001,14.0
Irish Water Spaniel,Sporting Group,0.4,0.6,1.0,0.8,0.4,57.150000000000006,25.627968905000003,12.5
Irish Wolfhound,Hound Group,0.4,0.6,0.6,0.4,0.6,78.74000000000001,51.029141625,7.0
Italian Greyhound,Toy Group,0.2,0.6,0.6,0.4,0.2,35.56,4.762719885,14.5
Jagdterrier,Foundation Stock Service,0.2,0.4,0.6,0.6,0.6,36.83,8.845051215,11.0
Japanese Chin,Toy Group,0.4,0.6,0.6,0.4,0.4,24.130000000000003,4.082331330000001,11.0
Japanese Spitz,Foundation Stock Service,0.4,0.4,0.6,0.8,0.8,34.29,7.937866475,13.0
Jindo,Foundation Stock Service,0.4,0.6,0.8,0.4,0.4,50.8,18.1436948,14.0
Kai Ken,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4,44.45,13.607771099999999,13.5
Karelian Bear Dog,Foundation Stock Service,0.2,0.6,0.4,0.8,0.6,53.974999999999994,21.092045204999998,12.0
Keeshond,Non-Sporting Group,0.6,0.6,0.6,0.8,0.8,44.45,18.143694800000002,13.5
Kerry Blue Terrier,Terrier Group,0.6,0.2,0.6,0.2,0.6,46.99,16.556121505,13.5
Kishu Ken,Foundation Stock Service,0.2,0.6,0.8,0.4,0.4,49.53,20.41165665,12.0
Komondor,Working Group,1.0,0.6,0.6,0.4,0.4,67.31,40.823313299999995,11.0
Kromfohrlander,Foundation Stock Service,0.6,0.8,0.6,0.6,0.4,41.91,12.473790175000001,14.0
Kuvasz,Working Group,0.4,0.8,0.6,0.4,0.4,71.12,41.957294225,11.0
Labrador Retriever,Sporting Group,0.4,0.8,1.0,1.0,1.0,58.42,30.617484975,11.0
Lagotto Romagnolo,Sporting Group,0.2,0.2,0.6,1.0,0.6,44.45,13.380974915,16.0
Lakeland Terrier,Terrier Group,0.4,0.2,0.6,0.6,0.6,36.83,7.71107029,13.5
Lancashire Heeler,Miscellaneous Class,0.2,0.6,0.8,0.8,0.8,27.939999999999998,5.8967008100000005,13.5
Lapponian Herder,Foundation Stock Service,0.4,0.6,0.6,1.0,0.4,48.26,31.751465900000003,12.0
Leonberger,Working Group,0.8,0.8,0.6,1.0,0.8,72.39,58.9670081,9.0
Lhasa Apso,Non-Sporting Group,0.6,0.2,0.6,0.4,0.4,26.67,6.80388555,13.5
Löwchen,Non-Sporting Group,0.2,0.2,0.6,0.6,1.0,30.480000000000004,5.669904625000001,15.0
Maltese,Toy Group,0.8,0.2,0.6,0.6,1.0,20.32,3.17514659,13.5
Manchester Terrier (Standard),Terrier Group,0.4,0.4,0.6,0.8,0.6,39.370000000000005,7.71107029,16.0
Manchester Terrier (Toy),Toy Group,0.4,0.4,0.6,0.8,0.6,27.939999999999998,5.4431084400000005,16.0
Mastiff,Working Group,0.2,0.4,0.6,0.6,0.6,73.025,79.37866475,8.0
Miniature American Shepherd,Herding Group,0.8,1.0,0.8,1.0,0.8,39.370000000000005,13.607771099999999,12.5
Miniature Bull Terrier,Terrier Group,0.2,0.4,0.8,0.4,0.6,30.48,10.43262451,12.0
Miniature Pinscher,Toy Group,0.2,0.2,0.6,0.4,0.6,28.575,4.082331330000001,14.0
Miniature Schnauzer,Terrier Group,1.0,0.2,0.6,1.0,0.6,33.02,7.030681735,13.5
Mountain Cur,Foundation Stock Service,0.2,0.6,1.0,0.2,0.4,53.34,20.41165665,11.5
Mudi,Miscellaneous Class,0.2,0.4,1.0,1.0,0.4,42.545,10.659420695000001,13.0
Neapolitan Mastiff,Working Group,0.4,0.6,0.6,0.2,0.2,69.85,58.9670081,8.0
Nederlandse Kooikerhondje,Sporting Group,0.4,0.6,0.6,1.0,0.4,39.370000000000005,11.33980925,13.5
Newfoundland,Working Group,0.4,0.6,0.6,0.8,0.8,68.58000000000001,56.699046249999995,9.5
Norfolk Terrier,Terrier Group,0.4,0.6,0.6,0.6,0.8,24.13,5.216312255,14.0
Norrbottenspets,Miscellaneous Class,0.4,0.4,0.8,0.8,0.6,43.815,11.33980925,15.5
Norwegian Buhund,Herding Group,0.4,0.6,0.8,0.8,0.8,43.815,14.968548209999998,13.5
Norwegian Elkhound,Hound Group,0.4,0.6,0.6,0.6,0.8,50.8,23.360007055,13.5
Norwegian Lundehund,Non-Sporting Group,0.4,0.6,0.8,0.6,0.4,34.29,11.33980925,13.5
Norwich Terrier,Terrier Group,0.4,0.6,0.8,0.6,0.8,25.4,5.4431084400000005,13.5
Nova Scotia Duck Tolling Retriever,Sporting Group,0.4,0.6,1.0,0.8,0.8,48.260000000000005,19.277675725,13.0
Old English Sheepdog,Herding Group,0.6,0.6,0.6,0.4,0.6,54.61,36.2873896,11.0
Otterhound,Hound Group,0.4,0.6,0.6,0.2,0.6,64.77,44.225256075,11.5
Papillon,Toy Group,0.4,0.6,0.6,1.0,1.0,24.130000000000003,3.401942775,15.0
Parson Russell Terrier,Terrier Group,0.4,0.4,1.0,0.6,0.8,34.290000000000006,6.80388555,14.0
Pekingese,Toy Group,0.6,0.6,0.4,0.2,0.4,19.05,6.35029318,13.0
Pembroke Welsh Corgi,Herding Group,0.4,0.8,0.8,0.6,1.0,27.939999999999998,13.154178730000002,12.5
